1,1000,5.18398,0,0.0064077,110,1
2,1000,6.91711,7.74123e+11,0.0028217,110,0.5
3,1000,0.797142,7.57396e+11,0.0028316,110,0.333333
5,1000,0.989841,1.00689e+12,0.0047332,110,0.2
10,1000,1.20853,1.51416e+12,0.0135921,110,0.1
15,1000,1.84832,1.92604e+12,0.0095986,110,0.0666667
20,1000,4.48949,2.53237e+12,0.0120007,110,0.05
30,1000,1.56546,3.05606e+12,0.016931,110,0.0333333
35,1000,3.9532,2.53858e+12,0.0185134,110,0.0285714
40,1000,0.32942,3.03525e+12,0.0184322,110,0.025
50,1000,0.112204,4.34849e+12,0.0206848,110,0.02
75,1000,1.24047,5.11801e+12,0.0312447,110,0.0133333
100,1000,3.45289,6.90721e+12,0.0414194,110,0.01
125,1000,1.00117,6.88124e+12,0.0527599,110,0.008
150,1000,2.71234,8.82412e+12,0.068122,110,0.00666667
175,1000,3.1284,1.00482e+13,0.0779756,110,0.00571429
200,1000,0.0247992,9.40368e+12,0.0839229,110,0.005
250,1000,4.10313,1.52248e+13,0.107384,110,0.004
350,1000,1.21455,2.0066e+13,0.158138,110,0.00285714
500,1000,2.63185,3.12987e+13,0.222077,110,0.002
600,1000,0.165657,3.64902e+13,0.240892,110,0.00166667
800,1000,0.821098,4.39265e+13,0.346687,110,0.00125
1000,1000,1.70275,5.49756e+13,0.450584,110,0.001
3000,1000,3.8819,1.85939e+14,1.38931,110,0.000333333
5000,1000,1.39243,2.59035e+14,2.04019,110,0.0002
1,1000,16.5153,0,0.0014678,110,1
2,1000,9.33972,6.85116e+11,0.0019717,110,0.5
3,1000,2.05635,8.76974e+11,0.0021012,110,0.333333
5,1000,1.47209,1.0602e+12,0.0034101,110,0.2
10,1000,0.0684245,1.86147e+12,0.0064953,110,0.1
15,1000,4.73659,2.0533e+12,0.0117105,110,0.0666667
20,1000,1.61016,2.22827e+12,0.012162,110,0.05
30,1000,0.499436,2.75986e+12,0.015977,110,0.0333333
35,1000,1.52702,3.38371e+12,0.0162105,110,0.0285714
40,1000,2.0807,3.39558e+12,0.0184087,110,0.025
50,1000,0.669726,3.84358e+12,0.0215742,110,0.02
75,1000,0.812631,5.71995e+12,0.0340004,110,0.0133333
100,1000,0.705927,6.00745e+12,0.0407786,110,0.01
125,1000,1.81863,7.37713e+12,0.0504434,110,0.008
150,1000,1.21884,8.74695e+12,0.0594439,110,0.00666667
175,1000,0.591196,1.03603e+13,0.0641163,110,0.00571429
200,1000,3.60155,1.04907e+13,0.0919565,110,0.005
250,1000,2.9611,1.34245e+13,0.101475,110,0.004
350,1000,0.978774,1.95483e+13,0.134667,110,0.00285714
